관측소명:해운대해수욕장
위도:35.148972
경도:129.170166
관측시간	유속(cm/s)	유향(16points)	유향(deg)	수온(℃)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)		풍향(deg)	기온(℃)	기압(hPa)	시정(m)	파향(deg)	
2024/04/01 00:44:00	20.7	동남동	116	13.72	0.28	4.9	0.39	5.0	1.4	북서	310	11.9	1011.1	-	160	
2024/04/01 00:45:00	20.0	동남동	122	13.75	0.29	5.0	0.40	5.0	1.3	북서	321	11.9	1011.1	-	105	
2024/04/01 00:46:00	19.7	동남동	115	13.77	0.31	4.8	0.45	4.5	1.0	북북서	328	12.0	1011.0	-	125	
2024/04/01 00:47:00	19.8	동남동	106	13.78	0.32	4.8	0.45	4.5	1.2	북북서	332	12.0	1011.0	-	104	
2024/04/01 00:48:00	19.5	동남동	118	13.79	0.33	4.8	0.51	5.0	1.3	북서	314	11.9	1011.0	-	212	
2024/04/01 00:49:00	18.5	동남동	113	13.79	0.33	4.9	0.51	5.0	1.6	북서	325	12.0	1011.0	-	134	
2024/04/01 00:50:00	19.3	동남동	111	13.79	0.30	4.5	0.51	5.0	1.3	북북서	332	11.9	1010.9	-	67	
2024/04/01 00:51:00	18.5	동남동	108	13.79	0.30	4.5	0.51	5.0	1.4	북북서	330	12.0	1010.9	-	137	
2024/04/01 00:52:00	19.2	동남동	115	13.79	0.33	4.5	0.51	5.0	1.5	북서	316	12.0	1010.9	-	138	
2024/04/01 00:53:00	17.5	동남동	103	13.79	0.32	4.7	0.47	5.5	1.6	북서	317	12.0	1011.0	-	145	
2024/04/01 00:54:00	18.9	동남동	107	13.79	0.34	4.5	0.48	4.0	1.5	북서	311	12.0	1011.0	-	133	
2024/04/01 00:55:00	19.8	동남동	114	13.80	0.35	4.4	0.48	4.0	1.2	북서	315	12.0	1011.0	-	145	
2024/04/01 00:56:00	19.1	동남동	112	13.80	0.33	4.5	0.48	4.0	1.0	북서	315	12.0	1011.0	-	181	
2024/04/01 00:57:00	20.1	동남동	115	13.80	0.33	4.3	0.48	4.0	0.6	북북서	328	12.1	1010.9	-	234	
2024/04/01 00:58:00	20.9	동남동	113	13.80	0.32	4.4	0.48	4.0	0.4	북북서	339	12.0	1010.8	-	195	
2024/04/01 00:59:00	19.8	동남동	110	13.80	0.36	4.9	0.63	4.0	0.9	북북서	332	12.1	1010.8	-	222	
2024/04/01 01:00:00	19.8	동남동	106	13.80	0.34	5.0	0.63	4.0	1.4	북북서	331	12.0	1010.9	-	113	
2024/04/01 01:01:00	21.6	동	100	13.80	0.33	5.0	0.63	4.0	1.7	북북서	336	12.0	1010.9	-	249	
2024/04/01 01:02:00	19.4	동남동	104	13.80	0.34	4.9	0.63	4.0	1.6	북북서	337	12.1	1010.8	-	127	
2024/04/01 01:03:00	19.4	동남동	112	13.79	0.30	4.5	0.41	4.0	1.4	북북서	336	12.1	1010.8	-	217	
2024/04/01 01:04:00	21.1	동남동	111	13.79	0.29	4.2	0.41	4.0	1.7	북	354	12.0	1010.9	-	237	
2024/04/01 01:05:00	20.8	동남동	107	13.79	0.31	4.3	0.43	4.0	1.7	북	4	12.0	1010.9	-	220	
2024/04/01 01:06:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2024/04/01 01:07:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2024/04/01 01:08:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2024/04/01 01:09:00	20.7	동남동	108	13.78	0.32	4.6	0.40	5.5	1.3	북	354	12.0	1011.0	-	223	
2024/04/01 01:10:00	19.8	동	101	13.78	0.31	4.5	0.40	5.5	1.4	북북서	345	11.9	1011.0	-	228	
2024/04/01 01:11:00	19.8	동남동	106	13.78	0.30	4.6	0.44	4.5	1.3	북	352	11.9	1011.0	-	286	
2024/04/01 01:12:00	19.2	동남동	105	13.78	0.32	4.2	0.44	4.5	1.2	북북서	339	11.9	1011.0	-	359	
2024/04/01 01:13:00	19.2	동남동	108	13.78	0.34	4.5	0.49	5.0	1.3	북북서	338	11.8	1011.0	-	159	
2024/04/01 01:14:00	19.9	동남동	115	13.79	0.35	4.9	0.49	5.0	1.4	북북서	343	11.9	1011.0	-	218	
2024/04/01 01:15:00	19.6	동남동	114	13.79	0.36	4.7	0.49	5.0	1.4	북	9	12.0	1011.0	-	152	
2024/04/01 01:16:00	19.1	동남동	112	13.79	0.34	4.9	0.49	5.0	1.5	북	357	11.9	1010.9	-	206	
2024/04/01 01:17:00	18.9	동남동	112	13.79	0.33	4.8	0.49	5.0	1.5	북	356	11.9	1010.9	-	167	
2024/04/01 01:18:00	18.8	동남동	108	13.79	0.30	4.6	0.41	5.0	1.5	북	7	12.0	1010.9	-	119	
2024/04/01 01:19:00	17.2	동남동	109	13.79	0.29	4.4	0.40	5.0	1.2	북	354	11.9	1010.9	-	111	
2024/04/01 01:20:00	18.5	동남동	107	13.79	0.28	4.5	0.40	5.0	1.4	북	349	11.9	1010.9	-	119	
2024/04/01 01:21:00	18.1	동남동	110	13.79	0.28	4.8	0.40	5.0	1.5	북	2	11.9	1010.8	-	117	
2024/04/01 01:22:00	19.7	동남동	112	13.79	0.29	4.9	0.48	4.5	1.4	북	349	11.9	1010.8	-	232	
2024/04/01 01:23:00	19.2	동남동	112	13.79	0.32	4.8	0.48	4.5	1.4	북	4	11.9	1010.8	-	195	
2024/04/01 01:24:00	19.3	동남동	117	13.79	0.33	4.6	0.48	4.5	1.4	북북서	346	11.9	1010.8	-	129	
2024/04/01 01:25:00	18.7	동남동	111	13.79	0.34	4.8	0.48	4.5	1.5	북	1	11.9	1010.9	-	15	
2024/04/01 01:26:00	18.4	동남동	116	13.80	0.33	4.8	0.47	5.0	1.6	북북서	348	11.9	1010.9	-	121	
2024/04/01 01:27:00	19.8	동남동	110	13.80	0.34	4.9	0.47	5.0	1.6	북	359	11.9	1010.9	-	138	
2024/04/01 01:28:00	19.3	동남동	107	13.80	0.31	4.7	0.42	4.0	1.8	북	350	11.9	1010.9	-	114	
2024/04/01 01:29:00	18.6	동남동	115	13.80	0.32	4.8	0.42	4.0	1.8	북북서	342	11.9	1010.9	-	139	
2024/04/01 01:30:00	19.5	동남동	113	13.80	0.33	4.7	0.43	4.5	1.9	북	355	11.9	1010.9	-	163	
2024/04/01 01:31:00	18.6	동남동	113	13.80	0.33	4.7	0.43	4.5	2.0	북북서	343	11.8	1010.9	-	194	
2024/04/01 01:32:00	18.9	동남동	113	13.80	0.34	4.7	0.43	4.5	1.9	북북서	348	11.9	1010.9	-	175	
2024/04/01 01:33:00	18.8	동남동	112	13.80	0.32	4.5	0.43	4.5	1.9	북북서	341	11.8	1010.9	-	133	
2024/04/01 01:34:00	19.9	동남동	114	13.80	0.29	4.4	0.41	4.0	1.9	북북서	330	11.9	1010.8	-	143	
2024/04/01 01:35:00	20.3	동남동	114	13.80	0.28	4.5	0.34	3.5	1.7	북북서	337	11.8	1010.8	-	148	
2024/04/01 01:36:00	19.1	동남동	114	13.80	0.27	4.7	0.33	6.0	2.1	북북서	343	11.8	1010.8	-	177	
2024/04/01 01:37:00	18.6	동남동	107	13.80	0.26	4.4	0.34	5.5	2.0	북북서	328	11.9	1010.7	-	214	
2024/04/01 01:38:00	18.5	동남동	112	13.80	0.26	4.6	0.34	5.5	1.8	북북서	331	11.9	1010.7	-	203	
2024/04/01 01:39:00	20.0	동남동	114	13.80	0.29	4.8	0.39	5.0	2.0	북북서	339	11.9	1010.7	-	171	
2024/04/01 01:40:00	18.2	동남동	116	13.80	0.29	4.7	0.39	5.0	2.1	북북서	348	12.0	1010.8	-	180	
2024/04/01 01:41:00	-	-	-	-	0.33	4.9	0.47	5.0	-	-	-	-	-	-	204	
2024/04/01 01:42:00	-	-	-	-	0.33	4.9	0.47	5.0	-	-	-	-	-	-	204	
2024/04/01 01:43:00	19.8	동남동	111	13.80	0.32	4.8	0.47	5.0	2.2	북북서	330	11.9	1010.8	-	197	
2024/04/01 01:44:00	18.1	동남동	107	13.79	0.33	4.6	0.47	5.0	2.0	북북서	336	11.8	1010.8	-	219	
2024/04/01 01:45:00	18.4	동남동	104	13.80	0.34	4.5	0.45	5.5	2.3	북북서	327	11.9	1010.9	-	209	
2024/04/01 01:46:00	20.2	동남동	107	13.80	0.33	4.7	0.45	5.5	2.7	북서	326	11.8	1010.9	-	205	
2024/04/01 01:47:00	19.8	동남동	102	13.80	0.33	4.6	0.45	5.5	2.7	북북서	327	11.8	1011.0	-	55	
2024/04/01 01:48:00	19.7	동	100	13.80	0.33	4.5	0.54	3.5	2.8	북서	320	11.7	1011.0	-	111	
2024/04/01 01:49:00	21.1	동남동	104	13.80	0.34	4.5	0.54	3.5	2.5	북서	321	11.6	1011.0	-	262	
2024/04/01 01:50:00	20.5	동	101	13.80	0.35	4.5	0.54	3.5	2.3	북서	323	11.6	1011.0	-	103	
2024/04/01 01:51:00	20.7	동남동	105	13.81	0.35	4.7	0.54	3.5	2.1	북서	317	11.6	1011.0	-	162	
2024/04/01 01:52:00	20.5	동남동	104	13.81	0.36	4.5	0.54	3.5	2.2	북서	318	11.6	1011.0	-	111	
2024/04/01 01:53:00	20.1	동남동	104	13.81	0.35	4.5	0.50	5.5	2.0	북서	322	11.5	1011.0	-	128	
2024/04/01 01:54:00	19.9	동	98	13.82	0.33	4.5	0.48	3.5	1.7	북북서	330	11.5	1011.0	-	131	
2024/04/01 01:55:00	20.1	동	95	13.82	0.34	4.6	0.48	3.5	1.9	북서	320	11.5	1011.0	-	153	
2024/04/01 01:56:00	18.7	동	100	13.82	0.34	4.6	0.43	4.5	2.0	북서	326	11.5	1010.9	-	160	
2024/04/01 01:57:00	18.3	동남동	102	13.82	0.32	4.7	0.41	4.5	1.9	북서	324	11.5	1010.9	-	94	
2024/04/01 01:58:00	18.3	동남동	104	13.82	0.32	4.8	0.42	6.0	2.0	북서	322	11.5	1010.9	-	143	
2024/04/01 01:59:00	19.2	동	99	13.82	0.33	4.9	0.42	6.0	2.2	북서	317	11.5	1011.0	-	88	
2024/04/01 02:00:00	19.9	동	100	13.82	0.32	4.9	0.42	6.0	2.3	북서	317	11.6	1011.0	-	88	
2024/04/01 02:01:00	16.7	동	98	13.82	0.34	4.8	0.44	5.0	2.2	북서	312	11.6	1011.0	-	108	
2024/04/01 02:02:00	20.2	동	98	13.81	0.32	4.7	0.44	5.0	2.3	북서	315	11.5	1011.1	-	82	
2024/04/01 02:03:00	17.8	동	99	13.82	0.32	4.6	0.44	5.0	2.5	북서	317	11.4	1011.1	-	125	
2024/04/01 02:04:00	17.3	동	90	13.81	0.32	4.9	0.44	5.0	2.8	북서	317	11.5	1011.1	-	127	
2024/04/01 02:05:00	17.1	동	94	13.81	0.31	4.6	0.44	5.0	2.7	북서	314	11.6	1011.1	-	257	
2024/04/01 02:06:00	18.3	동	91	13.82	0.31	4.7	0.46	3.5	3.2	북서	318	11.6	1011.1	-	293	
2024/04/01 02:07:00	17.6	동	96	13.82	0.29	4.5	0.46	3.5	3.3	북서	312	11.6	1011.0	-	312	
2024/04/01 02:08:00	18.8	동	94	13.82	0.28	4.2	0.46	3.5	3.3	북서	308	11.6	1011.1	-	127	
2024/04/01 02:09:00	17.3	동	95	13.81	0.31	4.3	0.46	3.5	2.7	북서	306	11.7	1011.0	-	339	
2024/04/01 02:10:00	20.1	동	91	13.81	0.29	4.1	0.42	6.5	2.9	북서	311	11.6	1011.0	-	317	
2024/04/01 02:11:00	19.7	동	95	13.82	0.29	4.0	0.42	6.5	2.5	북서	314	11.6	1011.0	-	168	
2024/04/01 02:12:00	20.2	동	92	13.81	0.30	4.1	0.42	6.5	2.3	북서	315	11.7	1010.9	-	238	
2024/04/01 02:13:00	21.2	동	94	13.81	0.31	4.4	0.48	6.0	2.3	북서	308	11.7	1010.9	-	245	
2024/04/01 02:14:00	23.0	동	94	13.81	0.30	4.4	0.48	6.0	2.1	북서	320	11.7	1010.9	-	235	
2024/04/01 02:15:00	23.9	동	92	13.80	0.30	4.3	0.48	6.0	1.7	북서	325	11.7	1010.9	-	247	
2024/04/01 02:16:00	24.6	동	93	13.80	0.31	4.3	0.48	6.0	1.5	북서	319	11.7	1010.9	-	155	
2024/04/01 02:17:00	24.4	동	87	13.81	0.29	3.9	0.42	4.0	1.7	북서	325	11.8	1010.9	-	303	
2024/04/01 02:18:00	23.0	동	88	13.81	0.33	4.3	0.53	5.5	2.1	북서	313	11.7	1010.9	-	151	
2024/04/01 02:19:00	22.4	동	93	13.80	0.34	4.6	0.53	5.5	2.1	북서	320	11.8	1011.0	-	181	
2024/04/01 02:20:00	23.0	동	91	13.80	0.32	4.7	0.53	5.5	2.0	북서	313	11.8	1011.0	-	282	
2024/04/01 02:21:00	25.3	동	94	13.80	0.33	4.9	0.58	5.0	1.7	북서	308	11.8	1011.0	-	233	
2024/04/01 02:22:00	24.1	동	92	13.80	0.31	4.8	0.58	5.0	1.7	북서	308	11.8	1011.0	-	194	
2024/04/01 02:23:00	25.4	동	96	13.81	0.30	4.3	0.58	5.0	1.8	서북서	300	11.9	1011.0	-	246	
2024/04/01 02:24:00	26.6	동	95	13.81	0.31	4.3	0.58	5.0	2.1	북서	311	11.8	1011.0	-	118	
2024/04/01 02:25:00	26.7	동	93	13.81	0.32	4.5	0.58	5.0	2.0	서북서	300	11.8	1011.0	-	143	
2024/04/01 02:26:00	25.2	동	93	13.81	0.29	4.3	0.49	3.5	1.8	서북서	294	11.8	1011.0	-	235	
2024/04/01 02:27:00	25.0	동	92	13.81	0.28	4.3	0.49	3.5	1.8	서북서	301	11.8	1011.0	-	154	
2024/04/01 02:28:00	24.5	동	87	13.80	0.28	4.7	0.35	5.0	1.8	서북서	291	11.8	1010.9	-	3	
2024/04/01 02:29:00	24.4	동	86	13.80	0.29	4.3	0.51	4.5	2.1	서북서	290	11.9	1010.9	-	188	
2024/04/01 02:30:00	25.8	동	87	13.79	0.29	4.5	0.51	4.5	2.3	서북서	292	11.9	1011.0	-	42	
2024/04/01 02:31:00	22.3	동	86	13.80	0.27	4.7	0.51	4.5	2.5	서북서	287	12.0	1011.0	-	264	
2024/04/01 02:32:00	24.8	동	89	13.80	0.29	4.5	0.51	4.5	2.4	서	281	12.0	1011.0	-	161	
2024/04/01 02:33:00	26.1	동	90	13.78	0.28	4.5	0.42	4.5	2.7	서	279	12.0	1011.0	-	35	
2024/04/01 02:34:00	25.8	동	89	13.77	0.30	4.6	0.48	4.5	2.5	서	273	12.0	1011.0	-	94	
2024/04/01 02:35:00	25.3	동	86	13.76	0.32	4.6	0.48	4.5	2.7	서	262	12.0	1011.1	-	75	
2024/04/01 02:36:00	25.7	동	91	13.76	0.32	4.5	0.48	4.5	2.9	서	260	11.9	1011.1	-	97	
2024/04/01 02:37:00	25.5	동	88	13.75	0.32	4.5	0.48	4.5	2.7	서남서	258	11.6	1011.1	-	25	
2024/04/01 02:38:00	24.8	동	91	13.75	0.31	4.6	0.40	3.5	2.9	서남서	257	11.6	1011.1	-	197	
2024/04/01 02:39:00	28.2	동	90	13.75	0.32	4.5	0.52	5.0	2.6	서남서	254	11.5	1011.0	-	176	
2024/04/01 02:40:00	27.2	동	89	13.77	0.32	4.6	0.54	4.5	2.4	서남서	250	11.4	1011.1	-	309	
2024/04/01 02:41:00	27.8	동	91	13.76	0.32	4.9	0.54	4.5	2.6	서남서	258	11.5	1011.1	-	191	
2024/04/01 02:42:00	28.5	동	90	13.76	0.32	4.6	0.54	4.5	2.7	서	266	11.5	1011.1	-	277	
2024/04/01 02:43:00	28.0	동	91	13.78	0.30	4.1	0.54	4.5	3.7	서	271	11.5	1011.1	-	9	
2024/04/01 02:44:00	27.3	동	92	13.77	0.30	4.2	0.47	4.5	3.8	서	272	11.5	1011.1	-	169	
2024/04/01 02:45:00	29.2	동	93	13.77	0.30	4.3	0.40	4.0	4.3	서	272	11.6	1011.1	-	190	
2024/04/01 02:46:00	27.3	동	93	13.78	0.30	4.4	0.40	4.0	3.9	서북서	282	11.6	1011.1	-	123	
2024/04/01 02:47:00	27.0	동	93	13.79	0.29	4.6	0.46	4.5	3.8	서	271	11.6	1011.1	-	109	
2024/04/01 02:48:00	29.1	동	87	13.76	0.30	4.4	0.46	4.5	3.9	서	267	11.6	1011.1	-	164	
2024/04/01 02:49:00	29.6	동	88	13.74	0.29	4.5	0.46	4.5	3.8	서	277	11.5	1011.1	-	164	
2024/04/01 02:50:00	26.2	동	93	13.74	0.29	4.6	0.46	4.5	3.6	서	270	11.5	1011.1	-	183	
2024/04/01 02:51:00	29.7	동	92	13.74	0.31	4.8	0.45	5.0	3.6	서	271	11.4	1011.1	-	75	
2024/04/01 02:52:00	26.5	동	92	13.72	0.33	4.9	0.48	4.0	3.7	서	269	11.5	1011.0	-	300	
2024/04/01 02:53:00	24.0	동	87	13.72	0.34	4.8	0.48	4.0	4.1	서	270	11.4	1011.0	-	127	
2024/04/01 02:54:00	23.9	동	87	13.72	0.34	4.7	0.48	4.0	4.0	서	272	11.5	1011.0	-	303	
2024/04/01 02:55:00	23.9	동	90	13.72	0.34	4.5	0.48	4.0	3.3	서	275	11.4	1011.0	-	95	
2024/04/01 02:56:00	27.6	동	87	13.73	0.31	4.6	0.41	4.5	3.3	서	259	11.5	1011.0	-	272	
2024/04/01 02:57:00	25.2	동	92	13.76	0.33	4.4	0.45	5.5	4.1	서	273	11.5	1011.0	-	109	
2024/04/01 02:58:00	29.7	동	87	13.76	0.34	4.4	0.45	5.5	3.6	서	273	11.5	1011.1	-	212	
2024/04/01 02:59:00	28.2	동	92	13.78	0.31	4.1	0.45	5.5	3.2	서	277	11.4	1011.1	-	220	
2024/04/01 03:00:00	28.3	동	85	13.76	0.31	4.2	0.45	5.5	2.7	서북서	300	11.6	1011.1	-	197	
2024/04/01 03:01:00	27.9	동	87	13.76	0.30	4.1	0.43	3.0	2.7	북서	316	11.6	1011.1	-	131	
2024/04/01 03:02:00	28.2	동	88	13.75	0.27	4.4	0.38	4.5	2.4	북서	306	11.5	1011.1	-	273	
2024/04/01 03:03:00	28.0	동	83	13.75	0.27	4.4	0.39	4.0	2.5	북서	312	11.5	1011.2	-	201	
2024/04/01 03:04:00	28.4	동	88	13.74	0.30	4.6	0.44	4.0	2.4	북서	319	11.5	1011.2	-	244	
2024/04/01 03:05:00	24.5	동	93	13.75	0.30	4.6	0.44	4.0	2.4	북서	311	11.5	1011.2	-	184	
2024/04/01 03:06:00	27.5	동	88	13.76	0.30	4.4	0.44	4.0	2.5	북서	318	11.6	1011.1	-	208	
2024/04/01 03:07:00	30.0	동	89	13.77	0.30	4.3	0.44	4.0	1.9	서북서	289	11.5	1011.2	-	188	
2024/04/01 03:08:00	29.9	동	84	13.74	0.32	4.0	0.44	4.0	1.4	서북서	285	11.6	1011.2	-	121	
2024/04/01 03:09:00	31.1	동	93	13.74	0.34	4.4	0.56	4.0	1.7	북서	306	11.6	1011.2	-	18	
2024/04/01 03:10:00	32.6	동	90	13.76	0.34	4.3	0.56	4.0	1.6	서북서	285	11.7	1011.2	-	15	
2024/04/01 03:11:00	31.9	동	89	13.75	0.34	4.3	0.56	4.0	1.7	서	281	11.7	1011.2	-	32	
2024/04/01 03:12:00	28.4	동	87	13.75	0.34	4.5	0.56	4.0	1.5	서북서	303	11.7	1011.1	-	325	
2024/04/01 03:13:00	31.3	동	84	13.75	0.34	4.4	0.56	4.0	1.2	서	276	11.8	1011.1	-	179	
2024/04/01 03:14:00	31.3	동	88	13.75	0.32	4.6	0.45	3.5	1.3	서북서	287	11.9	1011.1	-	227	
2024/04/01 03:15:00	31.0	동	90	13.73	0.32	4.6	0.45	3.5	1.1	서북서	284	11.8	1011.2	-	173	
2024/04/01 03:16:00	31.5	동	84	13.73	0.28	4.5	0.40	3.5	1.1	북서	313	11.7	1011.2	-	223	
2024/04/01 03:17:00	32.0	동	88	13.74	0.27	4.4	0.37	4.0	0.9	서북서	288	11.8	1011.2	-	333	
2024/04/01 03:18:00	32.8	동	85	13.73	0.28	4.4	0.41	4.5	1.7	북서	304	11.9	1011.2	-	189	
2024/04/01 03:19:00	30.1	동	84	13.72	0.28	4.4	0.41	4.5	0.9	서북서	286	11.8	1011.2	-	256	
2024/04/01 03:20:00	28.9	동	82	13.73	0.29	4.7	0.41	4.5	1.5	서북서	291	11.9	1011.2	-	205	
2024/04/01 03:21:00	28.4	동	82	13.71	0.31	4.8	0.45	3.5	2.7	북서	318	11.9	1011.2	-	296	
2024/04/01 03:22:00	31.2	동	85	13.71	0.31	4.5	0.45	3.5	2.0	북북서	333	11.8	1011.2	-	168	
2024/04/01 03:23:00	33.4	동	84	13.72	0.31	4.5	0.45	3.5	2.3	북북서	331	11.8	1011.2	-	271	
2024/04/01 03:24:00	34.0	동	84	13.72	0.31	4.7	0.45	3.5	2.6	북북서	342	11.7	1011.2	-	95	
2024/04/01 03:25:00	32.6	동	85	13.71	0.32	4.3	0.50	4.5	2.5	북북서	341	11.7	1011.2	-	172	
2024/04/01 03:26:00	33.8	동	89	13.72	0.32	4.8	0.50	4.5	1.9	북서	324	11.5	1011.3	-	260	
2024/04/01 03:27:00	31.8	동	86	13.72	0.31	4.9	0.50	4.5	2.4	북북서	334	11.5	1011.3	-	152	
2024/04/01 03:28:00	29.4	동	87	13.71	0.32	4.7	0.50	4.5	1.9	북북서	337	11.4	1011.3	-	278	
2024/04/01 03:29:00	32.0	동	84	13.72	0.31	4.8	0.41	4.5	1.8	북서	323	11.5	1011.3	-	125	
2024/04/01 03:30:00	31.0	동	85	13.72	0.29	4.5	0.41	4.5	2.0	북서	320	11.5	1011.3	-	120	
2024/04/01 03:31:00	32.3	동	86	13.71	0.29	4.6	0.41	4.5	2.5	북서	321	11.5	1011.3	-	153	
2024/04/01 03:32:00	34.2	동	90	13.72	0.29	4.7	0.41	4.5	3.1	북서	324	11.5	1011.3	-	295	
